rank,codepoint_hex,char_display,count,fraction_of_total,unicode_major_category,unicode_bucket,unicode_name
884,U+5175,兵,59,7.82475607e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-5175
885,U+90E8,部,59,7.82475607e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-90E8
886,U+9577,長,59,7.82475607e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-9577
887,U+AC00,가,59,7.82475607e-08,Lo,letter,HANGUL SYLLABLE GA
888,U+C2DC,시,59,7.82475607e-08,Lo,letter,HANGUL SYLLABLE SI
889,U+C790,자,59,7.82475607e-08,Lo,letter,HANGUL SYLLABLE JA
890,U+045A,њ,58,7.69213309e-08,Ll,letter,CYRILLIC SMALL LETTER NJE
891,U+1E0F,ḏ,58,7.69213309e-08,Ll,letter,LATIN SMALL LETTER D WITH LINE BELOW
892,U+1F04,ἄ,58,7.69213309e-08,Ll,letter,GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA
893,U+30B3,コ,58,7.69213309e-08,Lo,letter,KATAKANA LETTER KO
894,U+30CA,ナ,58,7.69213309e-08,Lo,letter,KATAKANA LETTER NA
895,U+4F0A,伊,58,7.69213309e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-4F0A
896,U+5408,合,58,7.69213309e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-5408
897,U+6CBB,治,58,7.69213309e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-6CBB
898,U+91CE,野,58,7.69213309e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-91CE
899,U+B2E4,다,58,7.69213309e-08,Lo,letter,HANGUL SYLLABLE DA
900,U+1ED9,ộ,57,7.55951010e-08,Ll,letter,LATIN SMALL LETTER O WITH CIRCUMFLEX AND DOT BELOW
901,U+2039,‹,57,7.55951010e-08,Pi,punct_or_symbol,SINGLE LEFT-POINTING ANGLE QUOTATION MARK
902,U+2583,▃,57,7.55951010e-08,So,punct_or_symbol,LOWER THREE EIGHTHS BLOCK
903,U+30AD,キ,57,7.55951010e-08,Lo,letter,KATAKANA LETTER KI
904,U+6CB3,河,57,7.55951010e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-6CB3
905,U+C218,수,57,7.55951010e-08,Lo,letter,HANGUL SYLLABLE SU
906,U+013D,Ľ,56,7.42688712e-08,Lu,letter,LATIN CAPITAL LETTER L WITH CARON
907,U+057C,ռ,56,7.42688712e-08,Ll,letter,ARMENIAN SMALL LETTER RA
908,U+092C,ब,56,7.42688712e-08,Lo,letter,DEVANAGARI LETTER BA
909,U+1F38,Ἰ,56,7.42688712e-08,Lu,letter,GREEK CAPITAL LETTER IOTA WITH PSILI
910,U+3046,う,56,7.42688712e-08,Lo,letter,HIRAGANA LETTER U
911,U+304B,か,56,7.42688712e-08,Lo,letter,HIRAGANA LETTER KA
912,U+30B0,グ,56,7.42688712e-08,Lo,letter,KATAKANA LETTER GU
913,U+6226,戦,56,7.42688712e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-6226
914,U+90CE,郎,56,7.42688712e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-90CE
915,U+90FD,都,56,7.42688712e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-90FD
916,U+FB01,ﬁ,56,7.42688712e-08,Ll,letter,LATIN SMALL LIGATURE FI
917,U+00A2,¢,55,7.29426414e-08,Sc,punct_or_symbol,CENT SIGN
918,U+030C,̌,55,7.29426414e-08,Mn,other,COMBINING CARON
919,U+0455,ѕ,55,7.29426414e-08,Ll,letter,CYRILLIC SMALL LETTER DZE
920,U+0624,ؤ,55,7.29426414e-08,Lo,letter,ARABIC LETTER WAW WITH HAMZA ABOVE
921,U+1E43,ṃ,55,7.29426414e-08,Ll,letter,LATIN SMALL LETTER M WITH DOT BELOW
