init_seed,fold,condition,train_script,vocab_size,las_mean,uas_mean,n_test_tokens
43,1,transfer_tr_kk_tt,normalized,16000,0.251063829787234,0.3446808510638298,470
43,2,transfer_tr_kk_tt,normalized,16000,0.1466992665036675,0.21271393643031786,409
43,3,transfer_tr_kk_tt,normalized,16000,0.164969450101833,0.29124236252545826,491
43,4,transfer_tr_kk_tt,normalized,16000,0.2732919254658385,0.37888198757763975,483
44,0,transfer_tr_kk_tt,normalized,16000,0.1288056206088993,0.2576112412177986,427
44,1,transfer_tr_kk_tt,normalized,16000,0.2531914893617021,0.3595744680851064,470
44,2,transfer_tr_kk_tt,normalized,16000,0.22982885085574573,0.3374083129584352,409
44,3,transfer_tr_kk_tt,normalized,16000,0.10183299389002037,0.20162932790224034,491
44,4,transfer_tr_kk_tt,normalized,16000,0.2194616977225673,0.32919254658385094,483
45,0,transfer_tr_kk_tt,normalized,16000,0.2505854800936768,0.36768149882903983,427
45,1,transfer_tr_kk_tt,normalized,16000,0.25957446808510637,0.3702127659574468,470
45,2,transfer_tr_kk_tt,normalized,16000,0.13691931540342298,0.25183374083129584,409
